event_id,start_sample,end_sample,duration_sec,start_time_min,kmeans_cluster,dbscan_cluster,is_anomaly,anomaly_score,pca_1,pca_2,pca_3,peak_acceleration,rms_acceleration,energy,dominant_freq,spectral_centroid
0,4954,5244,2.9,0.8256666666666667,4,-1,0,-0.41931475519032113,-1.305023015288446,1.9012178203837622,0.0,3.5813094866916986,0.8120315078426159,191.22459922145418,1.3888888888888888,21.11955101680989
1,5399,5708,3.09,0.8998333333333334,0,-1,0,-0.3934267422449186,-1.1779768604155811,-1.8078351113644022,0.0,3.1652024794065348,0.9844126616126573,299.44210109808466,1.3071895424836601,19.75110771974298
2,7830,8090,2.6,1.305,4,-1,0,-0.3822286396847813,-2.4040091315021197,0.471058138805249,0.0,2.309655361622389,0.7187706724786674,134.32413270001334,1.1627906976744187,19.495357757706618
3,13404,13730,3.26,2.234,0,-1,0,-0.3794775990663695,-2.320666201615781,0.1324093331439002,0.0,2.021880422004588,0.7418892059827149,179.43026762889417,1.2345679012345678,19.70737521893365
4,17505,17867,3.62,2.9175,0,-1,0,-0.3847954885643188,-1.8769921776813718,-1.7620179908650244,0.0,2.3913212228655705,0.8271952350950211,247.69920842093444,1.3888888888888888,19.472650172049878
5,27517,27720,2.03,4.586166666666667,4,-1,0,-0.388430904259414,-2.2899835372898285,2.378424562042424,0.0,2.5313198421389784,0.6987292206394389,99.10917232640573,1.5,20.95381327578012
6,29759,30041,2.82,4.959833333333333,0,-1,0,-0.35214278783444114,-1.7607233326052067,-0.7744148034222149,0.0,2.589652600170069,0.8069955667025706,183.65020019908405,1.4285714285714286,18.759751357794382
7,31978,33537,15.59,5.329666666666666,2,-1,1,-0.6101562640735428,14.213984667896082,-0.039187049573269114,0.0,21.147891067793253,3.6456232665857016,20719.99707391689,1.1568123393316194,15.349571341889872
8,33805,34225,4.2,5.634166666666667,0,-1,0,-0.3989015510732513,-1.6503979210383726,-3.249842373977575,0.0,2.080856892822005,0.8265397179731483,286.9305202625952,1.1961722488038278,17.89456886984752
9,34378,34717,3.39,5.729666666666666,4,-1,0,-0.3605540560103112,-1.4776815950908384,1.1745851990172824,0.0,3.1185362729814896,0.808435336112899,221.55944781715584,1.4880952380952381,19.067727298971135
10,34868,35251,3.83,5.811333333333334,0,-1,0,-0.392898455800422,-1.9459281188228457,-3.1551220912492566,0.0,2.208545247702178,0.7433290200514266,211.62206627538524,1.3157894736842104,18.195957462699138
11,35629,35808,1.79,5.938166666666667,3,-1,0,-0.47516055085139086,-0.047703097534518304,-5.573695438094879,0.0,2.8268724828277643,1.2204903861964072,266.6378241208161,2.8409090909090913,13.034375060405637
12,39399,39700,3.01,6.5665000000000004,5,-1,0,-0.41644342110908616,-1.5475376105846792,2.513605279351958,0.0,2.815849644008909,0.9525294116143622,273.10099627711134,16.107382550335572,21.051498413070348
13,43197,43620,4.23,7.1995000000000005,0,-1,0,-0.3537006433455059,-1.7008938749124254,-0.13971537150188226,0.0,2.6440965076652354,0.7942109047946406,266.8161166276673,1.4285714285714284,20.14745930624285
