event_id,start_sample,end_sample,duration_sec,start_time_min,kmeans_cluster,dbscan_cluster,pca_1,pca_2,pca_3,peak_acceleration,rms_acceleration,energy,dominant_freq,spectral_centroid
0,1572,1700,1.28,0.262,0,-1,5.582157000818923,-2.214115056771857,-3.1983155020481874e-16,0.0008779563333334295,0.0003307009155291196,1.3998476228070132e-05,2.380952380952381,19.154549512693567
1,2971,3456,4.85,0.4951666666666667,0,-1,2.2107590928681664,2.9603071043100733,-3.198315502048186e-16,0.001207956333333371,0.00035219329621658375,6.015945718145261e-05,1.2448132780082988,18.586915801046086
2,8007,8698,6.91,1.3344999999999998,1,-1,-7.792916093687088,-0.746192047538215,-3.198315502048187e-16,0.0037250436666664832,0.0009331445724188972,0.000601694325987079,1.1627906976744187,16.648063156921697
